epoch,train_loss,validation_loss,train_accuracy,validation_accuracy,learning_rate
1,1.6344548883650039,1.279367704963684,0.3906222222222222,0.5372,0.001
2,1.2716592063268026,1.0772745599746705,0.5414222222222222,0.608,0.001
3,1.109035713036855,0.8908267107009887,0.6032222222222222,0.6858,0.001
4,1.0051287706375123,0.8105993601799011,0.6430888888888889,0.712,0.001
5,0.9250224598990546,0.8024344960212707,0.6750666666666667,0.7112,0.001
6,0.8639876766522725,0.6715239605903626,0.6959111111111111,0.7634,0.001
7,0.8129756683137682,0.7056569389343261,0.7150666666666666,0.7512,0.001
8,0.7738327050420973,0.6416058401107788,0.7335333333333334,0.7682,0.001
9,0.737106562391917,0.5954531921386719,0.7443111111111111,0.7914,0.001
10,0.7109633004824321,0.5867533104896545,0.7549111111111111,0.799,0.001
11,0.6836541392432319,0.5866732560634613,0.7647333333333334,0.7958,0.001
12,0.6567366911570232,0.5403940446853638,0.7775555555555556,0.8114,0.001
13,0.6481708581924438,0.5297262907981872,0.7779555555555555,0.8138,0.001
14,0.6242930792278714,0.5075311736106872,0.7851777777777778,0.8226,0.001
15,0.6015594820022583,0.49743541412353515,0.7936444444444445,0.8264,0.001
16,0.5916594636175367,0.5251626982212066,0.7958888888888889,0.8212,0.001
17,0.5753923546261258,0.49025245389938354,0.8021777777777778,0.8306,0.001
18,0.5628211238437228,0.4523220022201538,0.8074888888888889,0.8436,0.001
19,0.5536641719818115,0.46341058387756345,0.8112444444444444,0.846,0.001
20,0.541570951239268,0.4463631585597992,0.8153333333333334,0.843,0.001
21,0.5377782020515866,0.4438001589775085,0.8164666666666667,0.853,0.001
22,0.5296643530739679,0.4546476266860962,0.8196666666666667,0.8454,0.001
23,0.5120501246346367,0.4375983308315277,0.8242666666666667,0.8538,0.001
24,0.5081949015458425,0.43092076206207275,0.8261777777777778,0.8554,0.001
25,0.5013943632337782,0.4107630202770233,0.8277111111111111,0.8632,0.001
26,0.4939972034772237,0.43740852575302125,0.8305555555555556,0.8486,0.001
27,0.4899943047417535,0.42964358072280884,0.8297555555555556,0.8542,0.001
28,0.48130718324979144,0.4292954019546509,0.8363333333333334,0.8536,0.0005
29,0.4468942237642076,0.38216557059288025,0.8462222222222222,0.8678,0.0005
30,0.43205878228081596,0.3790423713684082,0.8528888888888889,0.8696,0.0005
