x,y,z
7.6453857,5.4138775,6.256638
8.300079,-8.310576,6.679847
-2.3427248,-6.009438,2.405317
9.186113,-5.853921,9.738882
-2.1910357,5.282649,1.8737342
2.0179071,-0.33323097,0.6401727
-4.8685503,-9.177546,2.1514082
5.8728266,9.807228,3.2975974
8.81543,2.6063843,6.1063843
-7.336282,9.197449,5.3704867
8.691961,1.2482948,6.7850003
1.8715935,1.4335299,0.98806685
7.388088,7.208002,6.3014584
1.3543053,-6.803429,0.858952
4.8218813,9.443886,2.1306
-1.41191,-6.4318037,1.6657784
7.7088585,0.9063835,7.033859
1.4780893,-6.503737,1.0672027
-4.668399,-6.6257486,2.768982
2.5489826,7.696993,1.5194671
-4.6073666,-2.6411524,1.0232946
-1.1727285,-1.87675,0.71674895
-4.0615835,7.813137,1.1537123
6.633709,9.796967,4.282945
-7.8937016,-9.019427,6.163301
-4.6101036,-0.17455101,4.0225024
-2.8237476,2.855547,-0.9614645
-6.012725,9.60129,1.8805944
0.94383144,-3.9867067,-0.33440354
-9.876791,-3.254465,9.371813
9.03109,-5.861187,8.439108
-8.494682,2.5551138,6.0295897
7.720274,2.466302,5.2150254
1.6641912,-0.157691,1.0745089
-3.2470455,-1.0142279,1.3601243
6.1795006,-6.961832,5.295292
1.5585079,-4.107349,-0.371678
8.079634,-3.8032093,6.2097816
1.0931969,2.6267328,-0.2661142
-3.1537318,4.4160185,-0.028183773
2.6868362,4.6685305,0.967793
-2.7117944,-7.633214,1.7209506
4.2085752,-0.77083397,2.8054874
8.928221,-1.9084282,8.193661
5.780596,9.974991,3.0306916
-4.371725,7.216175,2.4296699
5.772647,-7.4645844,4.6595654
1.7892628,-5.4946795,1.5731785
5.07835,-7.5541553,2.0860107
-6.095051,-2.5027027,3.4220648
-9.899084,-8.749567,8.452391
-3.8636055,4.699848,2.2625203
-7.6702285,-4.410118,6.088286
8.205389,-5.018882,7.4515357
2.8803139,0.47261238,2.875872
4.1421356,-3.19518,0.092691116
3.162612,7.5544662,0.47662652
-0.17395973,9.064808,-2.272786
7.826082,-8.928661,4.8226013
-7.105136,4.483568,4.7225914
0.62963676,0.20866013,1.3316392
-6.825402,5.248678,6.324786
3.08352,-3.7489486,1.1571066
-3.4438229,-0.7571411,2.2458956
3.0641632,-0.1870594,1.4275542
-2.083415,3.428772,-1.4553586
8.293919,4.9859657,6.5806193
-5.927019,3.9000425,3.903941
-5.9639797,1.2272787,3.354805
-5.96434,-7.9774847,3.2039766
8.994429,-5.744504,7.8082943
3.332511,-5.6969213,1.9503828
9.622507,-9.965567,7.0870137
-8.252763,9.579,6.0201306
-9.918761,-4.5274315,10.37097
-7.823638,-6.6469374,8.238387
-6.7268906,-4.528575,3.6412063
