x,y,z
7.6453857,5.4138775,1.6236781
8.300079,-8.310576,0.46124327
-2.3427248,-6.009438,0.24619776
9.186113,-5.853921,1.1456774
-2.1910357,5.282649,-0.27388835
2.0179071,-0.33323097,1.8466904
-4.8685503,-9.177546,0.018238187
5.8728266,9.807228,-1.3266914
8.81543,2.6063843,-0.28782922
-7.336282,9.197449,-1.8432316
8.691961,1.2482948,0.985906
1.8715935,1.4335299,1.0919363
7.388088,7.208002,1.4954015
1.3543053,-6.803429,1.8443552
4.8218813,9.443886,-1.9938291
-1.41191,-6.4318037,0.0015724897
7.7088585,0.9063835,1.6060851
1.4780893,-6.503737,1.9714828
-4.668399,-6.6257486,1.9409293
2.5489826,7.696993,0.7148726
-4.6073666,-2.6411524,0.117118835
-1.1727285,-1.87675,-1.2230144
-4.0615835,7.813137,0.8364293
6.633709,9.796967,-0.58814406
-7.8937016,-9.019427,-1.9181755
-4.6101036,-0.17455101,1.979578
-2.8237476,2.855547,-1.2718874
-6.012725,9.60129,-0.71728706
0.94383144,-3.9867067,0.14616597
-9.876791,-3.254465,-0.5568594
9.03109,-5.861187,1.2958694
-8.494682,2.5551138,-1.6345717
7.720274,2.466302,0.21054924
1.6641912,-0.157691,1.9832344
-3.2470455,-1.0142279,0.6335332
6.1795006,-6.961832,0.6749239
1.5585079,-4.107349,0.43112946
8.079634,-3.8032093,0.18564844
1.0931969,2.6267328,0.017739117
-3.1537318,4.4160185,-0.279912
2.6868362,4.6685305,0.39539903
-2.7117944,-7.633214,-0.19770874
4.2085752,-0.77083397,-0.15841794
8.928221,-1.9084282,0.1451478
5.780596,9.974991,-1.3341097
-4.371725,7.216175,1.5379677
5.772647,-7.4645844,-0.10901618
1.7892628,-5.4946795,1.6811368
5.07835,-7.5541553,-0.638426
-6.095051,-2.5027027,-0.61573154
-9.899084,-8.749567,-0.32385382
-3.8636055,4.699848,0.64835614
-7.6702285,-4.410118,-1.2808537
8.205389,-5.018882,1.240606
2.8803139,0.47261238,1.1486982
4.1421356,-3.19518,-1.8403287
